Fauna,Credit,Twitter,Page,Direction,Family
Torvosaurus tanneri,(uncredited),,http://phylopic.org/image/5f1e1adf-372c-4289-bfc5-147245c41170/,L,Theropod
Aquilops,Andrew A. Farke,andyfarke,http://phylopic.org/image/fd22540d-29a4-4b95-8a7e-ec9ab81f031d/,L,Ceratopsian
Euoplocephalus,Andrew A. Farke,andyfarke,http://phylopic.org/image/5b062105-b6a2-4405-bd75-3d0399102b9a/,L,Ankylosaurian
Gopherus,Andrew A. Farke,andyfarke,http://phylopic.org/image/fb405890-27fb-4dbc-b1e5-e7f38a185404/,L,Reptile
Stegosaurus ungulatus,Andrew A. Farke,andyfarke,http://phylopic.org/image/173f44e3-2db7-4c98-b41f-6ab58093a145/,L,Stegosaurian
Yinlong,Andrew A. Farke,andyfarke,http://phylopic.org/image/580db433-c610-40df-b7d8-a3434ad158ed/,L,Ceratopsian
Dahalokely,Andrew Farke and Joseph Sertich,andyfarke,http://phylopic.org/image/1730665f-ffb8-4026-b9a6-e36ba92bbc24/,L,Theropod
Olorotitan,Anonymous (vectorized by T. Michael Keesey),,http://phylopic.org/image/9161bbeb-fa38-48f6-bb20-c68c255dd9b6/,L,Lambeosaurine
Bissektipelta,Brad McFeeters,,http://phylopic.org/image/bf68e21e-fa8d-4f26-be72-03c52ce4d047/,L,Ankylosaurian
Cryolophosaurus,Brad McFeeters,,http://phylopic.org/image/6655838b-ba6a-4889-92f4-879444d1b931/,L,Theropod
Huaxiagnathus,Brad McFeeters,,http://phylopic.org/image/8c13fc28-3e54-4ea2-851c-1112e2bbf1fe/,L,Theropod
Luoyanggia,Brad McFeeters,,http://phylopic.org/image/f8df3f09-64ed-4982-8b96-ffc4996c22d1/,L,Oviraptorid 
Pampadromaeus,Bruno Navarro,,http://phylopic.org/image/c8fa6626-4d1c-464e-9168-823bf6436358/,R,Sauropod
Staurikosaurus,Bruno Navarro,,http://phylopic.org/image/5b7e6fe2-3c73-4b1f-ac7b-e05655116b47/,R,Herrerasauridae
Stratiotosuchus,"Caio Bernardes, vectorized by Zimices",,http://phylopic.org/image/3e436cff-6601-4629-a99e-ba0adeec3472/,L,Baurusuchid 
Albertadromeus,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/b48a256b-cb24-4a48-8aa4-bd7f87ccf5db/,L,Parksosauridae
Sciurumimus,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/76be7ad0-6426-4ffa-92a3-07b1acbf4709/,L,Parksosauridae
Stegoceras,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/4d160c01-0026-4176-9471-4e79771c8c91/,L,Pachycephalosaurid
Thescelosaurus,Caleb M. Brown,brown_caleb_m,http://phylopic.org/image/b7879e57-baca-4cd2-83c5-e85e8971a85f/,L,Parksosauridae
Scutosaurus,Chris Jennings,,http://phylopic.org/image/c5a448bf-0119-4735-8366-c237d855a1a0/,L,Parareptile
Dinogorgon,Chris Jennings (Risiatto),,http://phylopic.org/image/ddbd5048-3148-4088-9ab1-97becdcb7ae3/,L,Gorgonopsidae
Eodromaeus,Conty,,http://phylopic.org/image/540e9a55-77c9-4754-ad84-3ec003c6ace8/,L,Theropod
Ambulocetus,Conty (vectorized by T. Michael Keesey),,http://phylopic.org/image/efa0966c-65ca-433e-9e95-e4e18c15c790/,L,Cetacean 
Albertosaurus,Craig Dylke,,http://phylopic.org/image/d7da9be9-fad6-4683-bf5e-bf7c951ee92c/,R,Tyrannosaurid 
Struthiomimus,Craig Dylke,,http://phylopic.org/image/72d740f3-17f2-460f-b04b-fa9bb6b3e00f/,R,Ornithomimid 
Styracosaurus,Craig Dylke,,http://phylopic.org/image/b5131da6-f158-46bd-812d-5cda4a0a2254/,R,Ceratopsian
Mauisaurus,Craig Dylke,,http://phylopic.org/image/7cbd4cf9-8869-46a7-93c7-71702b434309/,L,Plesiosaur
Corythosaurus,Craig Dylke,,http://phylopic.org/image/9f34bd6e-160b-4efc-91fd-d269441dd544/,R,Hadrosaur
Kakuru,Dann Pigdon,,http://phylopic.org/image/f170274b-c887-4aea-a30c-73238ede3e4c/,L,Theropod
Gobivenator,Danny Cicchetti (vectorized by T. Michael Keesey),,http://phylopic.org/image/fe24c8b2-a979-407e-a5fb-ba3a785e57f7/,L,Troodontid
Grippia,Dmitry Bogdanov,,http://phylopic.org/image/ab7194d3-1d74-4029-a6b1-81663a25dc13/,L,Ichthyosaur
Polonosuchus,Dmitry Bogdanov,,http://phylopic.org/image/e551c7e1-64e0-4ed0-ab36-d539ba988ac4/,L,Loricata
Scylacosaurus,Dmitry Bogdanov,,http://phylopic.org/image/6ecdac12-8832-401b-b6e2-8474dbc41b6a/,L,Therapsid
Suchodus,Dmitry Bogdanov,,http://phylopic.org/image/1677c9e0-e484-4db5-9693-dae9475bb270/,L,Crocodyliform
Balaur,Emily Willoughby,eawilloughby,http://phylopic.org/image/e1cf00c8-81b8-41c8-8fd1-c5f215c5bb53/,L,Theropod
Changyuraptor,Emily Willoughby,eawilloughby,http://phylopic.org/image/be5d1a4b-c6e8-4dbc-a8d6-0680abf886af/,L,Microraptoria
Citipati,Emily Willoughby,eawilloughby,http://phylopic.org/image/b82711c1-4c4c-4fdd-b9ff-2bcd48aa4cd1/,L,Oviraptorid 
Coelophysis,Emily Willoughby,eawilloughby,http://phylopic.org/image/85008e98-2194-4844-bff9-4c5513ddd117/,L,
Pachycephalosaurus,Emily Willoughby,eawilloughby,http://phylopic.org/image/6105ff49-0bd0-477c-8bef-41b0c39fdca9/,L,
Sauropelta,Emily Willoughby,eawilloughby,http://phylopic.org/image/9dc23409-1e36-402d-8be5-6b939f7fb664/,L,
Stygimoloch,Emily Willoughby,eawilloughby,http://phylopic.org/image/dc73bebc-7294-493d-b64a-98addd6ea837/,L,
Tianyulong,Emily Willoughby,eawilloughby,http://phylopic.org/image/8c90fb70-ec89-4cc7-9675-8e6f034e8d02/,L,
Utahraptor  ostrommaysi,Emily Willoughby,eawilloughby,http://phylopic.org/image/5f83d70e-a91f-437d-bee4-a4fc7bec995e/,L,
Utahraptor ostrommaysi,Emily Willoughby,eawilloughby,http://phylopic.org/image/06662a5b-a115-4231-897a-a74570b1320f/,L,
Zhenyuanlong,Emily Willoughby,eawilloughby,http://phylopic.org/image/f9e142f8-a58b-43d7-b241-26a6f755e5b6/,L,
Tianyulong confuciusi,Emily Willoughby,eawilloughby,http://phylopic.org/image/8c90fb70-ec89-4cc7-9675-8e6f034e8d02/,L,Dinosaur
Brontomerus,Francisco Gasco,,http://phylopic.org/image/ea4d2a4d-3b4c-450a-bbdd-22520f7ef358/,L,Sauropod
Kelenken,FunkMonk,,http://phylopic.org/image/4745210a-93f6-4bec-af63-e84820e9ea5b/,L,
Microvenator,FunkMonk,,http://phylopic.org/image/9e2c9596-43e9-4ea4-a642-93ee44501e73/,L,
Segnosaurus,FunkMonk,,http://phylopic.org/image/0f195f49-b914-4e91-a2c8-709de3a9b996/,L,
Shuvuuia,FunkMonk,,http://phylopic.org/image/e175b06d-60c1-4d0b-8596-fd2543738d19/,L,
Troodon junior,FunkMonk,,http://phylopic.org/image/948449df-8b08-4ea4-9f1e-391cd410c78a/,L,
Coelurus,FunkMonk,,http://phylopic.org/image/d3ae8c0d-107d-45de-992e-177c551e079d/,L,Theropod
Polacanthus,FunkMonk,,http://phylopic.org/image/58982e27-5545-4357-86d5-cb98b29ba853/,L,Ankylosaurian 
Elaphrosaurus,FunkMonk,,http://phylopic.org/image/585a10c9-41ee-4c65-9c55-894c8fbe57f1/,L,Theropod
Acrotholus,Gareth Monger,gaffamondo,http://phylopic.org/image/14d3a680-60e4-4b9a-a6c4-4c85fb6527cc/,R,
Aurornis,Gareth Monger,gaffamondo,http://phylopic.org/image/b1cb08ee-062d-4101-b945-014e654f4316/,R,
Baryonyx,Gareth Monger,gaffamondo,http://phylopic.org/image/7c6775fb-5df6-431c-9fcb-4e58a833bc29/,L,
Dryosaurus,Gareth Monger,gaffamondo,http://phylopic.org/image/14184e4e-0777-4d0b-8cb4-00dedd216af4/,L,
Eurhinosaurus,Gareth Monger,gaffamondo,http://phylopic.org/image/303ddff0-6a51-4f70-adf7-69bb22385d6d/,R,
Plesiopterys,Gareth Monger,gaffamondo,http://phylopic.org/image/a46edfc9-7ee5-4316-9862-c27c435cf047/,L,
Shastasaurus,Gareth Monger,gaffamondo,http://phylopic.org/image/83c83962-d551-42dd-a3b2-99346a89fc99/,L,
Jianchangosaurus,"Hanyong Pu, et al.",,http://phylopic.org/image/4391e695-92b0-4e67-be00-4116f8af9fd0/,L,
Agnosphitys,Iain Reid,iainr27,http://phylopic.org/image/05d79645-d985-494d-a239-0e142c46d203/,L,
Aviatyrannis,Iain Reid,iainr28,http://phylopic.org/image/c557874a-1438-4189-b364-1bb0db13effe/,L,
Chindesaurus,Iain Reid,iainr29,http://phylopic.org/image/79d397db-f503-48a9-853a-3357458b76df/,R,
Delapparentia,Iain Reid,iainr30,http://phylopic.org/image/42bafc80-610d-4c5b-9553-771974ea6102/,L,
Haestasaurus,Iain Reid,iainr31,http://phylopic.org/image/baf9b47e-5ec9-45e9-828e-c6e206e8e95a/,L,
Kayentavenator,Iain Reid,iainr32,http://phylopic.org/image/f327468f-0fe9-4416-9ca8-fff9f0695444/,L,
Lufengosaurus,Iain Reid,iainr33,http://phylopic.org/image/0ba39ffb-84b6-4516-97ac-8f8eb6fefc5a/,R,
Nqwebasaurus,Iain Reid,iainr34,http://phylopic.org/image/665dc6e9-3eee-4fd5-81fb-02d45271e9df/,L,
Parasaurolophus,Jack Mayer Wood,thewoodparable,http://phylopic.org/image/7d36a10c-43ff-41c5-a939-f3fd203d419c/,L,
Plateosaurus,Jack Mayer Wood,thewoodparable,http://phylopic.org/image/23027ce7-713d-4c28-97e2-aec0219266df/,L,
Ruehleia,Jack Mayer Wood,thewoodparable,http://phylopic.org/image/e401eed5-29f1-42c8-abbd-1f18134734f6/,L,
Tyrannosaurus,Jack Mayer Wood,thewoodparable,http://phylopic.org/image/812299bb-c476-4b9a-a918-6119f96ff1e3/,L,Dinosaur
Carnotaurus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/c59710f4-3ee4-4cfe-93bb-913b42cec4c8/,L,
Ctenochasma,Jaime Headden,JaimeHeadden,http://phylopic.org/image/230b9d10-9efd-459f-bd2c-89e9cdef997b/,L,
Lesothosaurus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/df3e8dab-47c2-4734-b050-dfee5685cbfd/,L,
Lesothosaurus diagnosticus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/f91c54b6-ea6e-46d8-9035-e8da65c1db1f/,L,
Scleromochlus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/9a9cffa6-b151-4260-babd-a66b1237d506/,L,
Scleromochlus taylori,Jaime Headden,JaimeHeadden,http://phylopic.org/image/88179cbe-c1ab-4367-9d17-86047f547bc9/,L,
Thalassodromeus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/4d0a3cfd-379a-443d-ae5e-07058e2d9055/,L,
Thecodontosaurus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/aa9f6082-6b87-4f13-b6f5-9c4756289637/,L,
Majungasaurus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/16326846-ecd5-49a9-b450-176d3f63703e/,L,Theropod
Eretmochelys,James R. Spotila and Ray Chatterji,,http://phylopic.org/image/f38583f2-b978-4bfe-afba-7bcd18efac60/,R,
Compsognathus,John Conway,,http://phylopic.org/image/36c77c59-0069-4b2a-b2ae-a213cd94ab1d/,L,
Monolophosaurus jiangi,Jordan Mallon (vectorized by T. Michael Keesey),,http://phylopic.org/image/79f26be5-29d6-4a8e-a2bf-cd3a15fa8e6f/,L,
Deinocheirus mirificus,Julio Garza,,http://phylopic.org/image/f73a57a3-2489-44fe-9b26-d213d20ed8d0/,L,
Pterodactylus,Julio Garza,,http://phylopic.org/image/97ce8bbd-68a1-4185-a23e-59dcad7d7f15/,C,
Dreadnoughtus,Kenneth Lacovara,kenlacovara,http://phylopic.org/image/41039e8c-2baa-489e-9a0d-b6798f9b79e0/,L,
Nasutoceratops,Lukas Panzarin (vectorized by T. Michael Keesey),,http://phylopic.org/image/ef275bb4-d7bc-4687-a52e-9dab12a1f582/,L,
Camelus ferus,Lukasiniho,,http://phylopic.org/image/918ad1f7-fc6e-43f5-9708-b2da8a71a820/,L,
Dunkleosteus terrelli,Maija Karala,,http://phylopic.org/image/40de8560-4b47-4707-823d-244e2713bbde/,L,
Stegomastodon,"Margret Flinsch, vectorized by Zimices",,http://phylopic.org/image/1179b795-27b3-4c2a-a922-a3dbbe1e44df/,L,
Camarasaurus,Mathew Wedel,,http://phylopic.org/image/7a99b167-b719-4233-946c-addf3ef1c06c/,L,
Eocursor parvus,Mathew Wedel,,http://phylopic.org/image/a5047982-35ad-4d7c-86c7-9f6232d4b2b2/,L,
Fruitadens,Mathew Wedel,,http://phylopic.org/image/26245351-d851-4ee0-8a85-1740e798ef43/,L,
Hypsilophodon foxii,Mathew Wedel,,http://phylopic.org/image/62caaa0d-691d-4cff-8f2c-5cf8c230de95/,L,
Pisanosaurus,Mathew Wedel,,http://phylopic.org/image/0e465876-924d-4da6-befe-3dddc729ae98/,L,
Rapetosaurus,Mathew Wedel,,http://phylopic.org/image/6ef5f66c-5bd8-491c-8569-c33576467d70/,L,
Silesaurus,Mathew Wedel,,http://phylopic.org/image/054a0b43-ac08-473a-841e-725bc757cdee/,L,
Giraffatitan,Mathew Wedel,,http://phylopic.org/image/e4129f4f-942e-4c5e-9b81-07542c7b3deb/,L,Sauropod
Anchillobator,Matt Martyniuk,mpmartyniuk,http://phylopic.org/image/11491d2a-337d-41ae-a276-ebdc18e5055b/,L,
Shenzhouraptor,Matt Martyniuk,mpmartyniuk,http://phylopic.org/image/0a4e1b13-d4f4-425c-8b80-8db24831280f/,L,
Tyrannosaurus bataar,Matt Martyniuk,mpmartyniuk,http://phylopic.org/image/5fb2a2f9-8712-486c-ac76-bcdc0e14c2bd/,L,
Tyrannosaurus rex,Matt Martyniuk,mpmartyniuk,http://phylopic.org/image/e093cadb-cec3-4d77-a518-489dce95a202/,L,
Scansoriopteryx,Matt Martyniuk,mpmartyniuk,http://phylopic.org/image/aa726914-e9bc-4811-8f42-9060c139d633/,R,Dinosaur
Camptosaurus dispar,Michael B. H.,,http://phylopic.org/image/c2ed454e-1b4f-47f3-9e6c-4f227c3ba924/,L,Dinosaur
Homalocephale,Michael B. H. (vectorized by T. Michael Keesey),,http://phylopic.org/image/55447a9d-b19a-4037-b6b5-68084b62aa10/,L,
Marasuchus lilloensis,Michael B.H.,,http://phylopic.org/image/02bf553f-9a9d-44ad-bf9d-55fe7b14c6fb/,L,
Dicraeosaurus,Michael P. Taylor,,http://phylopic.org/image/00b20655-5464-4caf-902a-bc41c3953ca2/,L,
Tyrannotitan chubutensis,Michael P. Taylor,,http://phylopic.org/image/4bf61905-5424-4d54-b4fd-477a62907eae/,L,
Mamenchisaurus,Michael P. Taylor,,http://phylopic.org/image/573dd931-48da-4681-83c0-bfb4330c890a/,L,Dinosaur
Mourasuchus,"Nicholas J. Czaplewski, vectorized by Zimices",,http://phylopic.org/image/752e8dae-a715-4632-a337-048740e23d32/,L,
Adamantinasuchus,Nobu Tamura,paleofan,http://phylopic.org/image/1de50190-80bd-4ac1-bad1-eccf5f38e23d/,L,
Crocodylus,Nobu Tamura,paleofan,http://phylopic.org/image/c60b0e39-1437-4bb4-8940-f6da3d943adf/,L,
Dromomeron,Nobu Tamura,paleofan,http://phylopic.org/image/e4bf088b-35de-4730-aab6-8f860045eb29/,L,
Eudibamus,Nobu Tamura,paleofan,http://phylopic.org/image/07f711b6-d995-4abd-89f1-2282c85a727c/,R,
Titanoceratops,Nobu Tamura,paleofan,http://phylopic.org/image/a2a5e9a6-2fd5-4f98-8c2a-79d8aecda9dc/,L,
Procolophon,Nobu Tamura,paleofan,http://phylopic.org/image/7a7e93a2-00d4-41f2-aded-8483ad38c7f1/,L,Reptile
Pelecanimimus,Nobu Tamura,paleofan,http://phylopic.org/image/6f7fa44f-3566-461c-a041-fff14ba0b0b4/,L,Dinosaur
Claudiosaurus,Nobu Tamura,paleofan,http://phylopic.org/image/009f32c8-cd70-4c5b-8db7-6a7991447d85/,L,Diapsid reptile
Secodontosaurus,Nobu Tamura,paleofan,http://phylopic.org/image/b4b4cbf6-c460-4e42-b6c3-e395220f3642/,L,Pelycosaur
Achelousaurus,Nobu Tamura (modified by T. Michael Keesey),paleofan,http://phylopic.org/image/45f4a99b-5880-4f55-8987-58e80fa62aa6/,L,Ceratopsian
Huayangosaurus taibaii,Nobu Tamura (modified by T. Michael Keesey),paleofan,http://phylopic.org/image/7ba30dac-e98c-4e99-9ae4-e1a62d1d5722/,L,
Edmontosaurus,Nobu Tamura (vectorized by T. Michael Keesey),paleofan,http://phylopic.org/image/644ea657-afb6-4a78-9f63-24b5bbfab0b0/,L,
Macroplata,Nobu Tamura (vectorized by T. Michael Keesey),paleofan,http://phylopic.org/image/9c41489f-af62-48b4-8bd4-7126b547a59c/,L,
Ouranosaurus,Nobu Tamura (vectorized by T. Michael Keesey),paleofan,http://phylopic.org/image/b147095e-826d-4f39-96f5-38e2e822f9a7/,L,
Placodus gigas,Nobu Tamura (vectorized by T. Michael Keesey),paleofan,http://phylopic.org/image/18eb61c8-5e23-42ee-9917-cde560ae84dc/,L,
Tsintaosaurus,Nobu Tamura (vectorized by T. Michael Keesey),paleofan,http://phylopic.org/image/a72a82c7-d2a2-41da-bb14-cdf717c7b665/,L,
Guarinisuchus,"Nobu Tamura, vectorized by Zimices",paleofan,http://phylopic.org/image/3348bfd5-c5c2-4992-a8d9-67caee449bb7/,L,
Baurusuchus salgadoensis,"Nobu Tamura, vectorized by Zimices",paleofan,http://phylopic.org/image/f917c656-5311-4709-8b91-b2ddb4666f23/,R,Crocodyliform
